tourney_slug,singles_winner_player_slug,tourney_round_name,winner_slug,loser_slug,year,ranking_points_winner,rank_number_winner,ranking_points_norm_winner,ranking_points_loser,rank_number_loser,ranking_points_norm_loser,avg_ranking_round_norm_loser,std_ranking_round_norm_loser,rounds_weights,diff_rank_mean,diff_rank_mean_weighted
australian-open,andre-agassi,Finals,andre-agassi,yevgeny-kafelnikov,2000,4135.0,1.0,7948.217010504921,2915,2,5603.156610791256,6669.908109750534,3759.480494370115,1.0,0.8400650381674933,0.8400650381674933
australian-open,andre-agassi,Semi-Finals,andre-agassi,pete-sampras,2000,4135.0,1.0,7948.217010504921,2419,3,4649.755005661766,4792.697779685571,3119.979544662478,1.0,0.9701748825828982,0.9701748825828982
australian-open,andre-agassi,Quarter-Finals,andre-agassi,hicham-arazi,2000,4135.0,1.0,7948.217010504921,800,41,1537.7445244024032,3169.480598413816,1932.2877945875562,1.0,0.4851724049587102,0.4851724049587102
australian-open,andre-agassi,Round of 16,andre-agassi,mark-philippoussis,2000,4135.0,1.0,7948.217010504921,1258,19,2418.103264622779,1960.9359917208542,1005.7004458994704,0.5,1.2331372746648042,0.6165686373324021
australian-open,andre-agassi,Round of 32,andre-agassi,mariano-zabaleta,2000,4135.0,1.0,7948.217010504921,936,33,1799.1610935508115,1426.5772943695285,530.5348443151503,0.5,1.2611732295556723,0.6305866147778362
australian-open,andre-agassi,Round of 64,andre-agassi,sjeng-schalken,2000,4135.0,1.0,7948.217010504921,728,47,1399.347517206187,931.8295297386652,414.8687942994836,0.25,1.5017205106159695,0.37543012765399236
australian-open,andre-agassi,Round of 128,andre-agassi,mariano-puerta,2000,4135.0,1.0,7948.217010504921,353,112,678.5297713925603,896.583354269583,380.32793217071907,0.25,0.7567949685451569,0.18919874213628923
roland-garros,gustavo-kuerten,Finals,gustavo-kuerten,magnus-norman,2000,2382.0,5.0,4578.634321408154,2868,3,5512.814119982615,6669.908109750534,3759.480494370115,1.0,0.8265202502450673,0.8265202502450673
roland-garros,gustavo-kuerten,Semi-Finals,gustavo-kuerten,juan-carlos-ferrero,2000,2382.0,5.0,4578.634321408154,1381,16,2654.531485249648,4792.697779685571,3119.979544662478,1.0,0.5538699929090461,0.5538699929090461
roland-garros,gustavo-kuerten,Quarter-Finals,gustavo-kuerten,yevgeny-kafelnikov,2000,2382.0,5.0,4578.634321408154,2758,4,5301.374247877284,3169.480598413816,1932.2877945875562,1.0,1.6726318660951531,1.6726318660951531
roland-garros,gustavo-kuerten,Round of 16,gustavo-kuerten,nicolas-lapentti,2000,2382.0,5.0,4578.634321408154,1774,11,3409.9484828623285,1960.9359917208542,1005.7004458994704,0.5,1.7389392092649938,0.8694696046324969
